City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Kanniyakumari,IN,2021-05-14 19:39:07,8.0833,77.5667,79.83,88,100,25.12
170,Kashi,CN,2021-05-14 19:39:07,39.4547,75.9797,51.8,82,75,13.42
171,Khatanga,RU,2021-05-14 19:39:08,71.9667,102.5,18.77,95,100,5.46
172,Ilhabela,BR,2021-05-14 19:39:08,-23.7781,-45.3581,69.84,74,99,5.82
173,Bathsheba,BB,2021-05-14 19:39:08,13.2167,-59.5167,84.2,61,40,18.41
174,Santa Cruz,BO,2021-05-14 19:36:05,-17.8,-63.1667,79.72,46,31,7.9
175,Onokhoy,RU,2021-05-14 19:39:09,51.932,108.0747,30.2,74,0,2.17
176,Thinadhoo,MV,2021-05-14 19:39:09,0.5333,72.9333,82.15,79,100,13.94
177,Rio Verde De Mato Grosso,BR,2021-05-14 19:39:09,-18.9181,-54.8442,81.3,43,100,9.13
178,Iqaluit,CA,2021-05-14 19:39:10,63.7506,-68.5145,33.8,55,40,5.75
179,Ust-Maya,RU,2021-05-14 19:39:10,60.4167,134.5333,43.39,86,96,2.53
180,Bauchi,NG,2021-05-14 19:39:11,10.5,10.0,78.4,66,79,15.28
181,Coronel,CL,2021-05-14 19:39:11,-37.0167,-73.1333,62.6,72,0,9.22
182,Balakhninskiy,RU,2021-05-14 19:39:11,58.0106,114.2769,30.56,92,17,2.04
183,Chegdomyn,RU,2021-05-14 19:39:12,51.1167,133.0167,52.83,66,100,13.73
184,Andenes,NO,2021-05-14 19:39:12,69.3143,16.1194,42.8,75,75,11.5
185,Arraial Do Cabo,BR,2021-05-14 19:39:12,-22.9661,-42.0278,75.2,68,0,3.44
186,Guider,CM,2021-05-14 19:39:13,9.9342,13.9486,92.28,32,66,2.39
187,Cherskiy,RU,2021-05-14 19:39:13,68.75,161.3,28.33,91,60,3.49
188,Touros,BR,2021-05-14 19:39:13,-5.1989,-35.4608,75.2,100,90,4.61
189,Bengkulu,ID,2021-05-14 19:39:14,-3.8004,102.2655,76.21,91,96,5.01
190,Najran,SA,2021-05-14 19:39:14,17.4924,44.1277,89.6,18,40,4.61
191,Ormara,PK,2021-05-14 19:39:14,25.2088,64.6357,81.79,84,47,8.55
192,Vydrino,RU,2021-05-14 19:39:15,51.485,104.8461,40.55,54,4,4.41
193,Mount Isa,AU,2021-05-14 19:39:15,-20.7333,139.5,59.0,26,0,10.36
194,Synya,RU,2021-05-14 19:39:15,65.3718,58.0387,49.87,73,100,7.7
195,Havre-Saint-Pierre,CA,2021-05-14 19:39:16,50.2334,-63.5986,46.4,57,90,19.57
196,Paso De Carrasco,UY,2021-05-14 19:39:16,-34.8603,-56.0522,64.4,59,0,3.44
197,Lake Havasu City,US,2021-05-14 19:39:16,34.4839,-114.3224,99.0,8,1,10.36
198,Bekhtery,UA,2021-05-14 19:39:17,46.251,32.2927,57.99,88,0,6.71
199,Makakilo City,US,2021-05-14 19:38:36,21.3469,-158.0858,80.6,57,20,9.22
200,Sidney,AU,2021-05-14 19:39:17,-33.8679,151.2073,50.0,79,29,3.0
201,Otradnoye,RU,2021-05-14 19:39:17,59.7775,30.8181,62.6,55,0,6.71
202,Moroni,KM,2021-05-14 19:39:18,-11.7022,43.2551,78.53,77,91,13.2
203,Aswan,EG,2021-05-14 19:39:18,24.0934,32.907,88.52,7,0,7.38
204,Kapaa,US,2021-05-14 19:39:18,22.0752,-159.319,78.8,65,1,17.27
205,Smithers,CA,2021-05-14 19:38:01,54.7804,-127.1743,59.0,41,40,4.61
206,Havelock,US,2021-05-14 19:39:19,34.8791,-76.9013,73.99,28,40,14.97
207,Maniitsoq,GL,2021-05-14 19:39:19,65.4167,-52.9,37.33,75,100,10.65
208,Dakar,SN,2021-05-14 19:37:04,14.6937,-17.4441,75.2,73,12,16.11
209,Sitka,US,2021-05-14 19:39:20,57.0531,-135.33,48.2,87,90,11.5
210,San Andres,CO,2021-05-14 19:39:20,12.5847,-81.7006,87.8,66,20,17.27
211,Cabedelo,BR,2021-05-14 19:35:18,-6.9811,-34.8339,78.8,89,75,5.75
212,Hilo,US,2021-05-14 19:38:04,19.7297,-155.09,80.6,69,90,4.61
213,Morros,BR,2021-05-14 19:39:21,-9.4467,-46.3003,83.7,49,56,2.95
214,Berlevag,NO,2021-05-14 19:39:21,70.8578,29.0864,35.6,64,75,11.5
215,Ishigaki,JP,2021-05-14 19:39:21,24.3448,124.1572,81.21,86,73,16.71
216,Talnakh,RU,2021-05-14 19:37:12,69.4865,88.3972,14.95,94,54,7.87
217,Durango,MX,2021-05-14 19:36:11,24.8333,-104.8333,80.15,22,84,5.97
