City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Saldanha,ZA,-33.0117,17.9442,46.45,83,78,4.61,broken clouds
266,Half Moon Bay,US,37.4636,-122.4286,58.98,79,1,7.38,clear sky
267,Poros,GR,37.4994,23.4536,85.57,54,9,8.61,clear sky
268,Flinders,AU,-34.5833,150.8552,70.21,49,1,5.01,clear sky
269,Wanaka,NZ,-44.7,169.15,42.69,61,92,3.94,overcast clouds
270,Bathsheba,BB,13.2167,-59.5167,79.41,65,20,14.74,few clouds
271,Sobolevo,RU,54.4299,31.8996,62.4,76,81,15.41,broken clouds
272,Pisco,PE,-13.7,-76.2167,65.01,88,75,3.44,broken clouds
273,Goderich,CA,43.7501,-81.7165,73.72,49,96,18.41,overcast clouds
274,Nauta,PE,-4.5061,-73.5757,72.1,91,86,1.5,overcast clouds
275,Amli,IN,20.2833,73.0167,91.6,47,86,12.91,overcast clouds
276,Noumea,NC,-22.2763,166.4572,73.38,59,25,5.19,scattered clouds
277,Haines Junction,CA,60.7522,-137.5108,46.35,71,100,8.05,light rain
278,Poltavka,RU,54.3663,71.7632,95.02,15,26,14.97,scattered clouds
279,Bellmead,US,31.594,-97.1089,77.07,91,90,12.39,overcast clouds
280,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.75,99,100,0.81,light rain
281,Faanui,PF,-16.4833,-151.75,81.18,72,36,13.42,scattered clouds
282,Aswan,EG,24.0934,32.907,90.72,16,0,8.23,clear sky
283,Sol-Iletsk,RU,51.1631,54.9918,71.08,54,86,19.48,overcast clouds
284,Severo-Kurilsk,RU,50.6789,156.125,37.85,98,100,16.24,light rain
285,Gojra,PK,31.1487,72.6866,105.69,7,0,3.6,clear sky
286,Pangody,RU,65.85,74.4859,43.66,59,100,7.99,overcast clouds
287,El Cope,PA,8.6167,-80.6,72.86,95,99,4.27,overcast clouds
288,Espinosa,BR,-14.9261,-42.8192,67.08,78,8,6.46,clear sky
289,Banyo,CM,6.75,11.8167,67.68,92,98,0.85,light rain
290,Abu Samrah,SY,35.3029,37.1841,79.65,27,0,5.55,clear sky
291,Chuy,UY,-33.6971,-53.4616,45.43,78,5,5.64,clear sky
292,Ulladulla,AU,-35.35,150.4667,63.88,50,1,12.06,clear sky
293,Depok,ID,-6.4,106.8186,93.27,56,40,8.03,scattered clouds
294,Hasaki,JP,35.7333,140.8333,79.29,54,100,10.33,overcast clouds
295,Djenne,ML,13.9061,-4.5533,88.02,42,100,9.06,overcast clouds
296,Durusu,TR,41.3053,28.6767,65.34,87,97,8.99,light rain
297,Nador,MA,35.174,-2.9287,66.27,88,90,11.05,overcast clouds
298,Klaksvik,FO,62.2266,-6.589,47.32,86,67,19.53,broken clouds
299,Chifeng,CN,42.2683,118.9636,64.31,36,100,6.44,light rain
300,Sechura,PE,-5.5569,-80.8222,70.18,81,51,9.73,broken clouds
301,Sorong,ID,-0.8833,131.25,80.1,86,100,12.33,overcast clouds
302,Tyukhtet,RU,56.5389,89.3011,59.32,45,97,8.43,overcast clouds
303,Vestmanna,FO,62.1564,-7.1664,45.52,87,73,13.29,broken clouds
304,Miri,MY,4.4148,114.0089,91.54,58,40,7.63,scattered clouds
305,Huarmey,PE,-10.0681,-78.1522,65.71,90,56,5.86,broken clouds
306,Hirado,JP,33.3597,129.5531,69.15,66,100,10.31,overcast clouds
307,Iqaluit,CA,63.7506,-68.5145,26.33,86,90,8.99,overcast clouds
308,Mountain Home,US,43.133,-115.6912,51.8,100,1,8.12,clear sky
309,Kirakira,SB,-10.4544,161.9205,79.93,73,99,10.96,moderate rain
310,Sturgis,US,41.7992,-85.4192,71.15,57,1,4.61,clear sky
311,Kinna,SE,57.5073,12.6946,49.75,91,100,8.5,overcast clouds
312,Dengzhou,CN,37.8086,120.7508,78.31,46,86,24.76,overcast clouds
313,Makokou,GA,0.5738,12.8642,71.29,97,62,0.81,moderate rain
314,Warri,NG,5.5167,5.75,77.2,93,99,3.06,overcast clouds
315,Korla,CN,41.7597,86.1469,87.73,10,0,0.4,clear sky
316,Lengshuijiang,CN,27.6881,111.4294,81.45,81,81,3.33,broken clouds
317,Farah,AF,32.5,62.5,89.06,9,0,7.43,clear sky
318,South Daytona,US,29.1658,-81.0045,75.99,81,40,0.0,scattered clouds
319,Phalodi,IN,27.1333,72.3667,100.02,31,0,12.3,clear sky
320,Hachinohe,JP,40.5,141.5,66.31,37,2,13.91,clear sky
321,Walvis Bay,NA,-22.9575,14.5053,58.15,62,0,3.42,clear sky
322,Arrifes,PT,37.7667,-25.7,62.85,94,75,10.36,broken clouds
323,Balkanabat,TM,39.5108,54.3671,82.35,40,97,6.87,overcast clouds
324,Carballo,ES,43.213,-8.691,53.87,93,85,2.86,overcast clouds
325,Kivertsi,UA,50.8343,25.4582,53.92,76,70,9.89,broken clouds
326,Sovetskiy,RU,61.3614,63.5842,57.22,70,100,7.61,light rain
327,Cardston,CA,49.2,-113.3019,48.06,87,100,2.3,overcast clouds
328,Hofn,IS,64.2539,-15.2082,44.15,82,100,9.4,overcast clouds
329,Aksu,CN,41.1231,80.2644,84.27,9,100,3.36,overcast clouds
330,Vestmannaeyjar,IS,63.4427,-20.2734,45.27,83,74,23.89,broken clouds
331,Cayenne,GF,4.9333,-52.3333,78.1,90,75,5.93,broken clouds
332,Tefe,BR,-3.3542,-64.7114,73.33,99,100,1.07,light rain
